abbreviation,full_names_modern,quarter,split_note,confidence
Hún.,Vestur-Húnavatnssýsla;Austur-Húnavatnssýsla,Norðlendingafjórðungur,"Split 1907 - medieval Húnavatnssýsla was single; block on BOTH halves",medium
Skag.,Skagafjarðarsýsla,Norðlendingafjórðungur,not split,medium
Eyjafj.,Eyjafjarðarsýsla,Norðlendingafjórðungur,not split,medium
Þing.,Suður-Þingeyjarsýsla;Norður-Þingeyjarsýsla,Norðlendingafjórðungur,"Split 1907 - medieval Þingeyjarsýsla was single",medium
S-Þing.,Suður-Þingeyjarsýsla,Norðlendingafjórðungur,,medium
N-Þing.,Norður-Þingeyjarsýsla,Norðlendingafjórðungur,,medium
Múl.,Norður-Múlasýsla;Suður-Múlasýsla,Austfirðingafjórðungur,"Split 1907 - medieval Múlasýsla was single",medium
N-Múl.,Norður-Múlasýsla,Austfirðingafjórðungur,,medium
S-Múl.,Suður-Múlasýsla,Austfirðingafjórðungur,,medium
Skaft.,Vestur-Skaftafellssýsla;Austur-Skaftafellssýsla,blandað - see note,"Split 1787. VESTUR-Skaftafellssýsla is Sunnlendingafjórðungur; AUSTUR-Skaftafellssýsla is Austfirðingafjórðungur - the quarter boundary itself runs through this split, verify per-mention",low
V-Skaft.,Vestur-Skaftafellssýsla,Sunnlendingafjórðungur,,medium
A-Skaft.,Austur-Skaftafellssýsla,Austfirðingafjórðungur,,medium
Rang.,Rangárvallasýsla,Sunnlendingafjórðungur,not split,medium
Árn.,Árnessýsla,Sunnlendingafjórðungur,not split,medium
Gullbr.,Gullbringusýsla,Sunnlendingafjórðungur,"Merged/renamed multiple times post-medieval, verify modern equivalent in nafnid data",low
Kjós.,Kjósarsýsla,Sunnlendingafjórðungur,not split,medium
Borgarfj.,Borgarfjarðarsýsla,Vestfirðingafjórðungur,"Sometimes classed with Sunnlendingafjórðungur depending on source - verify",low
Mýr.,Mýrasýsla,Vestfirðingafjórðungur,not split,medium
Snæf.,Snæfellsnessýsla,Vestfirðingafjórðungur,not split,medium
Dal.,Dalasýsla,Vestfirðingafjórðungur,not split,medium
Barð.,Vestur-Barðastrandarsýsla;Austur-Barðastrandarsýsla,Vestfirðingafjórðungur,"Split - verify date",medium
V-Barð.,Vestur-Barðastrandarsýsla,Vestfirðingafjórðungur,,medium
A-Barð.,Austur-Barðastrandarsýsla,Vestfirðingafjórðungur,,medium
Ísafj.,Vestur-Ísafjarðarsýsla;Norður-Ísafjarðarsýsla,Vestfirðingafjórðungur,"Split - verify date",medium
V-Ísafj.,Vestur-Ísafjarðarsýsla,Vestfirðingafjórðungur,,medium
N-Ísafj.,Norður-Ísafjarðarsýsla,Vestfirðingafjórðungur,,medium
Strand.,Strandasýsla,Vestfirðingafjórðungur,not split,medium
