place_id,canonical_name,wikidata_id,variants, x(N) coords, y(W) coords, modern country, notes
l001,Hólar,Q1019455,Hólar Hjaltadalr; Hólar (Hjaltadalr Skag.); Hólar í Hjaltadal; Hólar cathedral,65.73333376,-19.11388452,Iceland, pertaining to the physical location of the cathedral and seat of authority
l128,Hólar,Q27779896,Hólar (N. bishopric Isl.); Hólar (the bishopric); Hólar - episcopal see where the proceedings took place;  Hólar - northern episcopal see;,,, Iceland, pertaining to the bishopric as an institution and ecclesiastical authority and its regional authority
l002,Úlfsdalir,,Ulfsdalir,,,Iceland
l003,Höskuldsstaðir,,"Hoskuldsstadir; Höskuldsstaðir, Skagaströnd, Húnavatnssýsla",,,Iceland
l004,Alviðra,,Alviðra,64°00'07.1""N, 20°58'59.8""W),Iceland, church site
l005,Arnarberg,,Arnarberg,,,,boundary landmark
l006,Aðey,,Aðey,,,,location from which compensation is owed
l007,Bangarslý,,
l008,Barnafell,,Barnafell,,,,area with forest rights
l009,Barð,,Barð,,,,in Fljót district
l010,Bessastaðir,,Bessastaðir,,,,(where the original charter was located when it was copied in 1640)
l011,Bjarnarstaðir,,
l012,Brekkur,,
l013,Brú,,
l014,Dæli,,Dæli,,,,property being sold
l015,Dýendisós.,,
l016,Dýrafjörður,,Dýrafjörður,,,,ford district
l017,Efstafell,,Efstafell,,,,the main property being sold
l018,Egilldarholt,,
l019,Enni and Lækkr,,Enni and Lækkr,,,,properties in dispute
l020,Eyjafjorður,,Eyjafjorður,,,,ford district; but in Eyjafjorður
l021,Eyvind's brekka,,Eyvind's brekka,,,,Eyvind's slopes - boundary marker
l022,Fell,,Fell,,,,location of church that receives 8 hundreds
l023,Flugumýri,,
l024,Giljá,,Giljá,,,,property exempted from obligations
l025,Gnúpur,,Gnúpur,,,,farm/church
l026,Grafar and Bakki,,Grafar and Bakki,,,,properties in dispute
l027,Grenjaðarstaðir,,
l028,Grunnur,,
l029,Grímstaðir,,Grímstaðir,,,,location on Flatey heath where they get half the land
l030,Grýtubakki,,Grýtubakki,,,,farm; location of payment)
l032,Hjaltabakki (Hún.),,Hjaltabakki; Hjaltabakki (the farm/assembly site)
l033,Hnútstaðir í Aðaldal,,
l034,Hvammur á Vatnsnesi,,
l035,Hvanneyri,,Hvanneyri,,,, (property given in exchange)
l036,Hálltorg,,Hálltorg,,,,location with half month's meadow rights
l039,Höfði,,
l041,Húsavaðall,,
l042,Jökulsá,,Jökulsá,,,,the river with fishing rights
l043,Keepis á,,Keepis á,,,, (Keppis river?) (property being transferred)
l044,Krossholmr,,Krossholmr,,,,boundary landmark
l045,Kræklingahlið,,Kræklingahlið,,,,(district)
l046,Kvíabekkr,,
l047,Lambanes,,Lambanes; Lambaness,,,,(property given in exchange); boundary landmark
l049,Laugaland,,Laugaland,,,, (farm; location of payment)
l050,Mallandi,,
l051,Miklabær,,"Miklabær í Blönduhlíð"; Miklabær Óslandshlíð Skag.,,,,
l053,Mikligarður,,,,,, is the farm that was purchased (but the name is also used for the city of Constantinople in some charters so it is ambiguous)
l056,Narfastaðir,,Narfastaðir,,,,place where Þorð Slappi lived
l057,Nes,,
l058,Niðaros,Q3028607,Nidaros Trondheim,63.42701046465637, 10.396948226834377, Norway, Archbishopric of the Region in modern day Trondheim (NO)
l059,Norway,Q20,Norge Norueorum/Noruenorum Norvegia Norugia,
